CMDLINE /home/damola/.local/share/virtualenvs/xetra_stock-QF-Scl8i/bin/python run.py /home/damola/Documents/ETL_Pipeline/xetra_stock/configs/xetra_report_config.yml
MEM 1.250000 1724174014.3307
MEM 7.875000 1724174014.4316
MEM 13.625000 1724174014.5323
MEM 17.125000 1724174014.6331
MEM 20.656250 1724174014.7338
MEM 23.031250 1724174014.8346
MEM 26.281250 1724174014.9353
MEM 28.816406 1724174015.0360
MEM 31.066406 1724174015.1368
MEM 34.191406 1724174015.2376
MEM 36.816406 1724174015.3384
MEM 39.566406 1724174015.4393
MEM 40.941406 1724174015.5400
MEM 42.191406 1724174015.6407
MEM 43.191406 1724174015.7415
MEM 44.316406 1724174015.8422
MEM 45.316406 1724174015.9432
MEM 47.066406 1724174016.0439
MEM 48.816406 1724174016.1448
MEM 56.316406 1724174016.2456
MEM 57.691406 1724174016.3463
MEM 60.816406 1724174016.4471
MEM 82.191406 1724174016.5479
MEM 90.074219 1724174016.6486
MEM 98.574219 1724174016.7494
MEM 106.949219 1724174016.8501
MEM 107.449219 1724174016.9510
MEM 110.699219 1724174017.0518
MEM 114.574219 1724174017.1526
MEM 117.199219 1724174017.2533
MEM 120.074219 1724174017.3539
MEM 123.699219 1724174017.4546
MEM 126.074219 1724174017.5553
MEM 126.324219 1724174017.6561
MEM 134.449219 1724174017.7568
MEM 136.957031 1724174017.8575
MEM 138.582031 1724174017.9581
MEM 140.082031 1724174018.0587
MEM 145.207031 1724174018.1594
MEM 150.832031 1724174018.2601
MEM 153.457031 1724174018.3608
MEM 153.957031 1724174018.4616
MEM 153.957031 1724174018.5623
MEM 153.957031 1724174018.6632
MEM 153.957031 1724174018.7640
MEM 153.957031 1724174018.8651
MEM 153.957031 1724174018.9660
MEM 153.957031 1724174019.0667
MEM 153.957031 1724174019.1674
MEM 153.957031 1724174019.2682
MEM 153.957031 1724174019.3691
MEM 153.957031 1724174019.4701
MEM 153.957031 1724174019.5709
MEM 153.957031 1724174019.6717
MEM 153.957031 1724174019.7725
MEM 153.957031 1724174019.8734
MEM 153.957031 1724174019.9743
MEM 153.957031 1724174020.0752
MEM 153.957031 1724174020.1760
MEM 153.957031 1724174020.2768
MEM 153.957031 1724174020.3776
MEM 153.957031 1724174020.4786
MEM 153.957031 1724174020.5795
MEM 153.957031 1724174020.6803
MEM 153.957031 1724174020.7811
MEM 153.957031 1724174020.8818
MEM 153.957031 1724174020.9826
MEM 153.957031 1724174021.0839
MEM 153.957031 1724174021.1847
MEM 153.957031 1724174021.2855
MEM 153.957031 1724174021.3863
MEM 153.957031 1724174021.4870
MEM 153.957031 1724174021.5880
MEM 153.957031 1724174021.6887
MEM 153.957031 1724174021.7896
MEM 153.957031 1724174021.8903
MEM 153.957031 1724174021.9911
MEM 153.957031 1724174022.0919
MEM 153.957031 1724174022.1926
MEM 153.957031 1724174022.2934
MEM 153.957031 1724174022.3943
MEM 153.957031 1724174022.4952
MEM 153.957031 1724174022.5960
MEM 153.957031 1724174022.6967
MEM 153.957031 1724174022.7975
MEM 153.957031 1724174022.8982
MEM 153.957031 1724174022.9991
MEM 153.957031 1724174023.0998
MEM 153.957031 1724174023.2009
MEM 153.957031 1724174023.3017
MEM 153.957031 1724174023.4025
MEM 153.957031 1724174023.5034
MEM 153.957031 1724174023.6043
MEM 153.957031 1724174023.7052
MEM 153.957031 1724174023.8059
MEM 153.957031 1724174023.9067
MEM 153.957031 1724174024.0075
MEM 153.957031 1724174024.1084
MEM 153.957031 1724174024.2092
MEM 153.957031 1724174024.3099
MEM 153.957031 1724174024.4107
MEM 153.957031 1724174024.5116
MEM 153.957031 1724174024.6124
MEM 153.957031 1724174024.7133
MEM 153.957031 1724174024.8145
MEM 153.957031 1724174024.9154
MEM 153.957031 1724174025.0161
MEM 153.957031 1724174025.1169
MEM 153.957031 1724174025.2177
MEM 153.957031 1724174025.3185
MEM 153.957031 1724174025.4193
MEM 153.957031 1724174025.5202
MEM 153.957031 1724174025.6210
MEM 153.957031 1724174025.7218
MEM 153.957031 1724174025.8225
MEM 153.957031 1724174025.9237
MEM 153.957031 1724174026.0244
MEM 153.957031 1724174026.1253
MEM 153.957031 1724174026.2261
MEM 153.957031 1724174026.3269
MEM 153.957031 1724174026.4277
MEM 153.957031 1724174026.5286
MEM 153.957031 1724174026.6294
MEM 153.957031 1724174026.7303
MEM 153.957031 1724174026.8311
MEM 153.957031 1724174026.9319
MEM 153.957031 1724174027.0328
MEM 153.957031 1724174027.1336
MEM 153.957031 1724174027.2344
MEM 153.957031 1724174027.3352
MEM 153.957031 1724174027.4360
MEM 153.957031 1724174027.5368
MEM 153.957031 1724174027.6376
MEM 153.957031 1724174027.7384
MEM 153.957031 1724174027.8392
MEM 153.957031 1724174027.9400
MEM 153.957031 1724174028.0407
MEM 153.957031 1724174028.1415
MEM 154.207031 1724174028.2422
MEM 154.207031 1724174028.3431
MEM 154.207031 1724174028.4438
MEM 154.207031 1724174028.5446
MEM 154.207031 1724174028.6455
MEM 154.207031 1724174028.7463
MEM 154.207031 1724174028.8476
MEM 154.207031 1724174028.9485
MEM 154.207031 1724174029.0492
MEM 154.207031 1724174029.1501
MEM 154.207031 1724174029.2509
MEM 154.207031 1724174029.3517
MEM 154.207031 1724174029.4525
MEM 154.207031 1724174029.5536
MEM 154.207031 1724174029.6545
FUNC xetra_code.common.s3.read_csv_to_df_ok 153.4570 1724174018.3609 154.2070 1724174029.9228 0
MEM 154.207031 1724174029.7555
MEM 154.207031 1724174029.8563
MEM 154.457031 1724174029.9571
